"filename", "language", "C++", "CMake", "Markdown", "YAML", "Dart", "Properties", "HTML", "JSON", "XML", "Swift", "comment", "blank", "total"
"d:\jobs\todo_aeo\todo_aeo_client\linux\runner\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\jobs\todo_aeo\todo_aeo_client\linux\runner\my_application.cc", "C++", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"d:\jobs\todo_aeo\todo_aeo_client\linux\runner\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\jobs\todo_aeo\todo_aeo_client\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 4, 15
"d:\jobs\todo_aeo\todo_aeo_client\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 4, 13
"d:\jobs\todo_aeo\todo_aeo_client\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 3, 14
"d:\jobs\todo_aeo\todo_aeo_client\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 1, 69
"d:\jobs\todo_aeo\todo_aeo_client\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"d:\jobs\todo_aeo\todo_aeo_client\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 4, 16
"d:\jobs\todo_aeo\todo_aeo_client\pubspec.yaml", "YAML", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 62, 14, 97
"d:\jobs\todo_aeo\todo_aeo_client\test\widget_test.dart", "Dart", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 17, 16, 82
"d:\jobs\todo_aeo\todo_aeo_client\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 15, 5, 39
"d:\jobs\todo_aeo\todo_aeo_client\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 1, 36
"d:\jobs\todo_aeo\todo_aeo_client\windows\CMakeLists.txt", "CMake", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
